antecedent,consequent,rule
Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,0
Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),1
Baked Pav Bhaji,Baked Vada Pav,2
Calzones Veg (Calzone Paneer),Baked Vada Pav,3
Baked Vada Pav,Baked Pav Bhaji,4
Baked Vada Pav,Calzones Veg (Calzone Paneer),5
