ItemName,ItemType,Addon Area,Sap Code,ItemStatus,RawMaterial,Qty,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area
Kesar Pista Macarons,Item,,,Active,Kesar Pista Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Lemon Curd Macarons,Item,,,Active,Lemon Curd Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Paan And Gulkand Macarons,Item,,,Active,Paan & Gulkand Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawberry Macarons,Item,,,Active,Strawberry Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Filter Coffee Macarons,Item,,,Active,Filter Coffee Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
CHILLI GUVAVA JUICE,Item,,,Active,Chill Guava Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
PINAPPLE JUICE,Item,,,Active,Pineapple Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
ORANGE JUICE,Item,,,Active,Orange Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
MANGO JUICE,Item,,,Active,Mango Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,3,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,2,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Cheesecake Berliner,Item,,,Active,Rosella Cheesecake Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Item,,,Active,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawbery Rosella Frangipani Tart,Item,,,Active,Strawberry Rosella Frangipani Tart,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Hamper,Item,,,Active,Hamper,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Sea Salt Dark Mocha Frappe (450 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Madagascar Chocolate Sauce,GM,All,Madagascar Chocolate,GM,All,Coffee Beans Robusta Honey,GM,All,,,,,,
